heteriske_code,heteriske_name,chp_number,chp_match_name,chp_confidence,registry_status,registry_official_name,registry_entity_type,registry_biz_type,registry_status_raw,error
1164,"סונול גז פלוס בע""מ",515916542,"סונול גז פלוס בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
863,"אברהם זילברברג בניה ויזום בע""מ",516734472,"אברהם זילברברג בניה ויזום בע""מ",exact,פעילה,"אברהם זילברברג בניה ויזום  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1095,"הדרום בפריחה ערד (ע""ר)",580648772,"הדרום בפריחה - ערד (ע""ר)",exact,פעילה,"הדרום בפריחה - ערד (ע""ר)",association,עמותה רשומה,רשומה,
1104,"לנד א.י בע""מ",516118163,"לנד א.י בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1108,"מוסדות חסידי בעלז בני-ברק (ע""ר)",580031680,"מוסדות חסידי בעלזא בני-ברק (ע""ר)",fuzzy,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1163,"פשוט לעזור לערד (ע""ר)",580599728,"פשוט לעזור לערד (ע""ר)",exact,פעילה,"פשוט לעזור לערד  (ע""ר)",association,עמותה רשומה,רשומה,
861,"אלסקה פרקמטיא בע""מ",515108413,"אלסקה פרקמטיא בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1078,"בית דוד בית שמש (ע""ר)",580572782,"בית דוד בית שמש (ע""ר)",exact,לא פעילה בפועל (ניתן צו פירוק על ידי בית משפט),"בית דוד בית שמש (ע""ר)",association,עמותה רשומה,ניתן צו פירוק על ידי בית משפט,
871,"מגורי ביתר שי עולמות בע""מ",516768744,"מגורי ביתר שי עולמות בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
869,"נופי בראשית שי בגליל בע""מ",516681947,"נופי בראשית שי בגליל בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
874,"נתיב החסד סופר חסד בע""מ",513777219,"נתיב החסד - סופר חסד בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
867,"קשת גיבורים בע""מ",514131499,"קשת גיבורים בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
866,"קשת גיבורים שיווק בע""מ",514844893,"קשת גיבורים - שיווק בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1160,"סתם מהודר בע""מ",515189157,"סתם מהודר בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
849,"א.ר.א.ב. בונוס בע""מ",512056789,"א.ר.א.ב. בונוס בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1055,"אובלי ערבויות בע""מ",515966661,"אובלי ערבויות בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1061,"אלדד פרי אסטרטגיות בע""מ",515272078,"אלדד פרי אסטרטגיות בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1062,"אלדד פרי נדל""ן בע""מ",514474634,"אלדד פרי נדל""ן בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
858,"בית יעקב- בית יהודה אריה ע""ר",580099869,"בית יעקב- בית יהודה אריה (ע""ר)",fuzzy,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1087,"דיילנא אוכל מרוקאי ביתי בע""מ",515231546,"דיילנא אוכל מרוקאי ביתי בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1096,"הנחלה - דיור להשכרה בע""מ",515783777,"הנחלה - דיור להשכרה בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
870,"מגן אברהם קרנות לעזרה ולגמילות חסדים ע""ר",580194793,"מגן אברהם קרנות לעזרה ולגמילות חסדים (ע""ר)",fuzzy,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
857,"ברקת מימון בע""מ",515279016,"ברקת מימון בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
856,"ברקת מימון יזמים בע""מ",517032579,"ברקת מימון יזמים בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
855,"ברקת קפיטל בע""מ",515187326,"ברקת קפיטל בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1140,"רזאור הנדסה ויעוץ בע""מ",512526278,"רזאור השקעות הנדסה ויעוץ בע""מ",fuzzy,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1051,"א.א. תכלת השקעות בטכנולוגיה בע""מ",516205390,"א.א. תכלת השקעות בטכנולוגיה בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1058,"אחים גבאי חקלאות (1996) בע""מ",512279050,"אחים גבאי חקלאות (1996) בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1083,"גרין סיטי נכסים בוקרשט בע""מ",516162146,"גרין סיטי נכסים בוקרשט בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1094,"ה.ש.מ אירופה ישראל יזמות בע""מ",515018729,"ה.ש.מ אירופה - ישראל יזמות בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1105,"מ.א.מ.י.א יזמות והשקעות בע""מ",514968940,"מ.א.מ.י.א - יזמות והשקעות בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1413,"א. גורדו בע""מ",510810575,"א. גורדו בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1677,"א. פרץ צעצועים בע""מ",515173086,"א. פרץ צעצועים בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
639,"א.ט.מ.ס מטריקס בע""מ",515633345,"א.ט.מ.ס מטריקס בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
61,א.ל. שפירא כוח אדם,516889995,"א.ל שפירא כוח אדם בע""מ",fuzzy,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
2000,"א.מ. רום השקעות (2007) בע""מ",514065085,"א.מ. רום השקעות (2007) בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
652,"א.ע.מ ליאל החזקות בע""מ",516536190,"א.ע.מ ליאל החזקות בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
630,"א.ק.ח נכסים בע""מ",515534691,"א.ק.ח נכסים בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1775,"א.ר. נכסי אלאר בע""מ",514134030,"א.ר. נכסי אלאר בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
2544,"אבא א.ב אחזקות נדלן בע""מ",515342269,"אבא א.ב אחזקות נדלן בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
190,"אבי גטי 770 בע""מ",516426822,"אבי גטי 770 בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1707,"אביר יעקב ישראל נדל""ן בע""מ",515819183,"אביר יעקב ישראל נדל""ן בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1763,"אבן גיר בע""מ",515689776,"אבן גיר בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1772,"אגבד ייזום פרויקטים בתמ""א 38 בע""מ",514795277,"אגבד ייזום פרויקטים בתמ""א 38 בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1965,"אגודת חסידי ספינקא בארץ ישראל מיסודו של כ""ק מרן האדמו""ר ר יעקב יוסף",580270007,"אגודת חסידי ספינקא בארץ ישראל מיסודו של כ""ק מרן האדמו""ר ר' יעקב יוסף (ע""ר)",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
1821,"אגרטון ס.ד בע""מ",515871267,"אגרטון ס.ד בע""מ",exact,לא נמצא ברשם - ח.פ. לא קיים בפועל,,,,,
