code,category,name,status,location,permit_link,chp_number,chp_match_name,chp_match_kind,chp_confidence,chp_verified,chp_verify_returned_code
1086,לימודים,גשרים 2-שותפות ליווי בניה שותפות מוגבלת,היתר עסקה בתוקף,,https://drive.google.com/file/d/1WzptvZXlbGASby8CJMq98a40-uxhm9Ye/view?usp=drive_link,,,,,,
1158,תאגידי מים,"מי כרמל בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1z1sm-IoKyuoQzF5N8tI7WBhLYvkkwLMf/view?usp=sharing,513531046,"מי כרמל בע""מ",company,exact,True,1158
1157,הלוואות והשקעות,"פיינסטר בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פיינסטר-בע_מ.pdf,515781003,"פיינסטר בע""מ",company,exact,True,1157
1063,מימון,"אנ""ש משכנתאות ופתרונות אשראי חכמים בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אנ_ש-משכנתאות-ופתרונות-אשראי-חכמים-בע_מ.pdf,516078797,"אנ""ש משכנתאות ופתרונות אשראי חכמים בע""מ",company,exact,True,1063
1147,מימון,"ארבל ב.ש. פתרונות מימון ומשכנתאות בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ארבל-ב.ש.-פתרונות-מימון-ומשכנתאות-בע_מ.pdf,516214723,"ארבל ב.ש. פתרונות מימון ומשכנתאות בע""מ",company,exact,True,1147
852,"נדל""ן","שמואל ברוך יזמות ובניה בע""מ",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/1AJZmbmmIZHYqn60UoFPpKnPM6t25Yxf0/view?usp=sharing,512403247,"שמואל ברוך יזמות ובניה בע""מ",company,exact,True,852
1054,קורסים,"אבי בן רפאל יעוץ והדרכה לבטיחות בדרכים בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אבי-בן-רפאל-יעוץ-והדרכה-לבטיחות-בדרכים-בע_מ.pdf,515004943,"אבי בן רפאל יעוץ והדרכה לבטיחות בדרכים בע""מ",company,exact,True,1054
1102,תקשורת,"יעקב בן יוסף מערכות תקשורת מתקדמות בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/יעקב-בן-יוסף-מערכות-תקשורת-מתקדמות-בע_מ.pdf,516173366,"יעקב בן יוסף מערכות תקשורת מתקדמות בע""מ",company,exact,True,1102
1156,עמילות מכס,"בראשית לוגיסטיקה בינלאומית בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1xO7AdNXbYM4zsinXF55tASTM2HN7d-RF/view?usp=sharing,513999672,"בראשית - לוגיסטיקה בינלאומית בע""מ",company,exact,True,1156
865,"עו""ד",י. שרעבי ושות' משרד עורכי דין ונוטריון,היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/י.-שרעבי-ושות-משרד-עורכי-דין-ונוטריון.pdf,,,,,,
